timestamp,code,msg_type
2026-08-05T09:33:15.934,03074T,depth
2026-08-05T09:33:15.934,03046T,depth
2026-08-05T09:33:15.934,03074T,depth
2026-08-05T09:33:15.934,03077T,depth
2026-08-05T09:33:15.934,03163T,depth
2026-08-05T09:33:15.934,03057T,depth
2026-08-05T09:33:15.934,03077T,depth
2026-08-05T09:33:15.934,03183T,depth
2026-08-05T09:33:15.934,03057T,depth
2026-08-05T09:33:15.934,03183T,depth
2026-08-05T09:33:15.946,03163T,depth
2026-08-05T09:33:15.946,03182T,depth
2026-08-05T09:33:15.951,03077T,depth
2026-08-05T09:33:15.951,03183T,depth
2026-08-05T09:33:16.032,030573,match
2026-08-05T09:33:16.032,030573,depth
2026-08-05T09:33:16.032,03046T,depth
2026-08-05T09:33:16.032,03183T,depth
2026-08-05T09:33:16.032,03077T,depth
2026-08-05T09:33:16.032,03077T,depth
2026-08-05T09:33:16.349,031645,depth
2026-08-05T09:33:16.427,031645,depth
2026-08-05T09:33:16.708,03198T,depth
2026-08-05T09:33:16.782,03198T,depth
2026-08-05T09:33:16.782,03198T,depth
2026-08-05T09:33:16.782,03194T,depth
2026-08-05T09:33:16.782,03194T,depth
2026-08-05T09:33:16.790,03194T,depth
2026-08-05T09:33:16.792,03195T,depth
2026-08-05T09:33:16.792,03195T,depth
2026-08-05T09:33:16.792,03195T,match
2026-08-05T09:33:16.792,03195T,depth
2026-08-05T09:33:16.792,031678,depth
2026-08-05T09:33:16.794,031678,depth
2026-08-05T09:33:16.859,03046T,depth
2026-08-05T09:33:16.859,03077T,depth
2026-08-05T09:33:16.922,03011T,depth
2026-08-05T09:33:16.989,03011T,depth
2026-08-05T09:33:16.989,03011T,depth
2026-08-05T09:33:16.989,03182T,depth
2026-08-05T09:33:17.068,03182T,depth
2026-08-05T09:33:17.068,03182T,depth
2026-08-05T09:33:17.130,03182T,depth
2026-08-05T09:33:17.133,03077T,depth
2026-08-05T09:33:17.133,03197T,depth
2026-08-05T09:33:17.133,03196T,depth
2026-08-05T09:33:17.133,03046T,depth
2026-08-05T09:33:17.133,03195T,depth
2026-08-05T09:33:17.133,03194T,depth
2026-08-05T09:33:17.133,03011T,depth
2026-08-05T09:33:17.133,03182T,depth
2026-08-05T09:33:17.133,03182T,depth
2026-08-05T09:33:17.133,03011T,depth
2026-08-05T09:33:17.195,03011T,depth
2026-08-05T09:33:17.258,03182T,depth
2026-08-05T09:33:17.321,03068T,depth
2026-08-05T09:33:17.321,03069T,depth
2026-08-05T09:33:17.417,03002T,depth
2026-08-05T09:33:17.500,03105T,depth
2026-08-05T09:33:17.500,03105T,depth
2026-08-05T09:33:17.504,03080T,depth
2026-08-05T09:33:17.504,03080T,depth
2026-08-05T09:33:17.504,03150T,depth
2026-08-05T09:33:17.610,03197T,depth
2026-08-05T09:33:17.690,03195T,depth
2026-08-05T09:33:17.690,03196T,depth
2026-08-05T09:33:17.692,03194T,depth
2026-08-05T09:33:17.753,030573,depth
2026-08-05T09:33:17.753,030573,depth
2026-08-05T09:33:17.828,03197T,depth
2026-08-05T09:33:17.893,03196T,depth
2026-08-05T09:33:17.895,03195T,depth
2026-08-05T09:33:17.895,03194T,depth
2026-08-05T09:33:17.985,03046T,depth
2026-08-05T09:33:18.054,03077T,depth
2026-08-05T09:33:18.054,03077T,depth
2026-08-05T09:33:18.056,03046T,depth
2026-08-05T09:33:18.056,03077T,depth
2026-08-05T09:33:18.349,03195T,depth
2026-08-05T09:33:18.416,03194T,depth
